№ каталога ВИР,Дата посева,Посев-начало всходов (дней),Начало всходов-начало цветения (дней),Начало всходов-конец цветения (дней),Начало цветения-конец цветения (дней),Начало цветения- начало созревания (дней),Начало всходов- начало созревания (дней),Начало всходов- полное созревание (дней),Начало созревания-полное созревание (дней),Цветок - окраска,Стебель окраска,Форма куста,Размер листочка,Цветоножка (окраска),Аскохитоз (поражение) 2017,Стебель- ветвистость (балл),Стебель  длина ветвей 1-го порядка,Стебель - характер ветвления (ветви 1-го порядка),Стебель - характер ветвления (ветви 2-го порядка),Осыпаемость бобов,Растрескиваемость бобов,Ptht 1,Ptht 2,Ptht 3,Ptht 4,Ptht 5,Hlp 1,Hlp 2,Hlp 3,Hlp 4,Hlp 5,Byld 1,Byld 2,Byld 3,Byld 4,Byld 5,WpWp 1,WpWp 2,WpWp 3,WpWp 4,WpWp 5,PPP 1,PPP 2,PPP 3,PPP 4,PPP 5,SPP 1,SPP 2,SPP 3,SPP 4,SPP 5,SYDS 1,SYDS 2,SYDS 3,SYDS 4,SYDS 5,PodSH,PDL 1,PDL 2,PDL 3,PDL 4,PDL 5,PDW 1,PDW 2,PDW 3,PDW 4,PDW 5,SSH,SCO,TSW,SNP ID
347,2017-05-02,7,30,48,18,39,69,79,10,2,3,3,5,3,3,9,5,1,5,2,2,50.0,60.0,55.0,60.0,56.0,12.0,19.0,29.0,31.0,29.0,61.5,102.2,29.7,55.1,79.6,17.4,35.4,4.7,22.9,33.9,117.0,146.0,57.0,68.0,111.0,152.0,115.0,65.0,63.0,102.0,22.0,28.6,16.5,17.0,26.1,7,25.0,24.0,25.0,25.0,22.0,11.0,10.0,11.0,13.0,10.0,3,11,230.0,VT0005_0347
351,2017-05-02,7,40,60,20,34,74,90,16,2,3,3,5,3,5,9,5,1,5,2,2,65.0,50.0,56.0,56.0,51.0,20.0,19.0,21.0,14.0,21.0,54.7,41.7,119.4,159.6,64.0,44.2,10.4,31.9,68.0,16.6,81.0,78.0,236.0,224.0,132.0,71.0,75.0,197.0,173.0,116.0,9.5,14.8,37.6,38.1,26.3,7,27.0,27.0,25.0,26.0,25.0,15.0,12.0,13.0,13.0,11.0,5,11,240.0,VT0010_0351
353,2017-05-02,9,35,56,21,34,69,78,9,2,5,1,5,7,3,9,5,1,7,1,1,56.0,51.0,49.0,50.0,50.0,17.0,26.0,20.0,13.0,17.0,80.3,30.5,56.4,71.2,52.7,18.9,8.3,22.0,30.3,24.6,112.0,46.0,86.0,108.0,67.0,177.0,67.0,113.0,141.0,85.0,44.4,14.9,22.7,29.2,18.5,7,25.0,24.0,22.0,20.0,23.0,11.0,10.0,12.0,10.0,10.0,3,11,285.0,VT0012_0353
354,2017-05-02,9,35,55,20,34,69,88,19,3,5,3,5,7,3,9,5,1,5,1,1,45.0,50.0,53.0,52.0,50.0,13.0,12.0,25.0,21.0,21.0,41.8,75.5,21.2,40.2,42.7,8.5,29.5,8.4,8.9,10.6,88.0,137.0,29.0,96.0,81.0,126.0,144.0,53.0,126.0,121.0,23.2,27.1,9.5,21.7,23.4,7,20.0,20.0,21.0,20.0,20.0,10.0,11.0,10.0,9.0,10.0,3,10,200.0,VT0013_0354
362,2017-05-02,7,33,51,18,36,69,77,8,1,3,5,7,3,3,7,5,1,5,2,2,60.0,52.0,55.0,62.0,56.0,21.0,15.0,22.0,29.0,22.0,67.2,85.5,53.1,72.7,64.3,15.5,40.2,15.0,19.3,20.0,90.0,68.0,68.0,100.0,68.0,88.0,75.0,69.0,110.0,82.0,27.4,22.6,21.4,33.6,25.5,5,29.0,27.0,31.0,30.0,28.0,13.0,13.0,14.0,14.0,13.0,3,1,360.0,VT0019_0362
364,2017-05-02,7,35,52,17,34,69,78,9,2,3,3,5,3,5,7,5,1,5,1,2,58.0,53.0,45.0,42.0,50.0,25.0,12.0,14.0,21.0,23.0,72.1,107.7,36.9,53.4,49.4,16.8,39.5,16.3,18.4,12.1,147.0,152.0,56.0,83.0,93.0,200.0,225.0,66.0,124.0,126.0,40.0,44.1,13.4,25.2,24.1,7,25.0,25.0,24.0,24.0,25.0,11.0,12.0,11.0,10.0,11.0,3,11,215.0,VT0020_0364
590,2017-05-02,7,42,55,13,31,73,87,14,1,3,3,7,3,1,9,5,1,5,1,2,65.0,60.0,60.0,58.0,60.0,25.0,18.0,20.0,14.0,17.0,110.7,53.5,131.8,162.1,308.2,47.7,19.7,51.5,72.3,136.5,107.0,72.0,112.0,147.0,273.0,107.0,75.0,150.0,154.0,274.0,33.6,20.5,44.2,53.7,90.4,5,29.0,25.0,30.0,27.0,27.0,12.0,12.0,14.0,12.0,10.0,3,1,415.0,VT0022_0590
599,2017-05-02,7,31,47,16,39,70,77,7,1,3,1,7,3,5,9,7,1,7,2,2,70.0,60.0,63.0,62.0,60.0,27.0,32.0,27.0,33.0,30.0,24.4,26.1,43.0,44.2,38.4,10.5,6.8,13.5,10.8,14.9,45.0,32.0,50.0,57.0,45.0,61.0,38.0,59.0,71.0,45.0,15.8,11.1,18.3,20.9,14.5,5,30.0,30.0,29.0,30.0,25.0,15.0,14.0,14.0,13.0,12.0,5,1,300.0,VT0028_0599
611,2017-05-02,7,36,53,17,34,70,76,6,2,3,1,3,3,5,7,7,1,7,2,2,55.0,60.0,43.0,55.0,50.0,22.0,24.0,23.0,23.0,24.0,56.3,29.4,29.9,50.1,38.5,21.2,6.5,11.7,14.5,7.5,73.0,56.0,38.0,72.0,75.0,111.0,102.0,54.0,103.0,105.0,25.4,19.6,11.1,23.0,19.7,7,22.0,24.0,21.0,24.0,21.0,10.0,12.0,9.0,11.0,10.0,3,11,255.0,VT0038_0611
793,2017-05-02,7,40,55,15,33,73,92,19,3,3,5,5,3,3,7,7,7,7,1,2,50.0,55.0,52.0,40.0,52.0,21.0,25.0,25.0,23.0,29.0,33.8,46.7,33.7,27.3,20.0,13.2,17.3,8.0,12.6,8.6,52.0,68.0,79.0,49.0,29.0,67.0,79.0,110.0,71.0,39.0,12.8,17.1,22.0,11.4,8.2,7,24.0,24.0,27.0,24.0,23.0,9.0,10.0,11.0,11.0,10.0,3,11,200.0,VT0039_0793
856,2017-05-02,8,36,53,17,36,72,85,13,3,5,5,5,7,7,9,7,1,5,2,2,50.0,50.0,50.0,60.0,46.0,19.0,23.0,23.0,21.0,23.0,60.6,46.7,45.2,40.5,17.5,23.0,13.8,17.9,12.5,5.7,76.0,78.0,56.0,66.0,48.0,85.0,101.0,74.0,87.0,44.0,23.5,22.1,17.4,21.0,8.5,7,21.0,23.0,23.0,23.0,21.0,11.0,11.0,13.0,12.0,10.0,3,11,325.0,VT0040_0856
863,2017-05-02,7,38,54,16,36,74,92,18,1,3,5,5,3,5,7,3,7,7,1,2,50.0,45.0,50.0,51.0,40.0,19.0,22.0,21.0,22.0,16.0,46.0,42.3,71.6,80.2,41.0,23.7,22.1,33.2,37.3,19.0,69.0,65.0,100.0,129.0,99.0,95.0,83.0,156.0,182.0,119.0,13.6,12.9,24.3,25.5,15.0,7,23.0,22.0,21.0,21.0,20.0,11.0,10.0,10.0,10.0,8.0,5,1,165.0,VT0044_0863
868,2017-05-02,7,35,52,17,38,73,92,19,1,3,3,5,3,5,9,3,7,5,2,1,55.0,50.0,45.0,50.0,50.0,17.0,21.0,21.0,23.0,19.0,98.7,70.3,44.5,30.1,35.8,41.2,29.6,15.3,10.3,10.6,123.0,86.0,69.0,46.0,56.0,191.0,139.0,100.0,77.0,87.0,35.8,26.5,19.1,15.1,17.0,5,25.0,24.0,25.0,24.0,23.0,10.0,12.0,12.0,11.0,11.0,5,1,230.0,VT0047_0868
882,2017-05-02,7,31,46,15,37,68,77,9,1,3,5,5,3,7,7,5,1,5,2,1,55.0,56.0,57.0,53.0,50.0,17.0,12.0,16.0,25.0,31.0,25.3,23.7,30.1,16.3,13.4,8.4,9.7,9.6,5.0,4.2,49.0,31.0,50.0,31.0,23.0,51.0,47.0,69.0,40.0,31.0,10.8,7.5,12.5,6.1,4.7,5,25.0,30.0,30.0,27.0,25.0,13.0,14.0,12.0,12.0,12.0,7,4,285.0,VT0051_0882
883,2017-05-02,7,36,51,15,37,73,93,20,1,3,3,5,3,7,3,5,7,5,1,2,52.0,50.0,60.0,50.0,42.0,21.0,22.0,20.0,15.0,20.0,63.3,72.1,91.0,65.6,49.7,22.0,28.3,32.1,28.5,24.2,96.0,95.0,125.0,87.0,66.0,174.0,162.0,169.0,132.0,75.0,30.2,28.6,30.5,24.9,15.8,7,22.0,25.0,22.0,24.0,25.0,12.0,12.0,10.0,11.0,11.0,5,1,225.0,VT0052_0883
192,2017-05-02,7,31,49,18,38,69,76,7,3,3,3,3,7,3,9,5,7,7,2,2,40.0,37.0,50.0,47.0,50.0,15.0,14.0,17.0,24.0,22.0,28.5,20.5,53.7,52.4,47.3,14.6,8.0,12.7,22.6,14.5,59.0,46.0,149.0,114.0,116.0,94.0,74.0,246.0,188.0,186.0,11.9,9.9,30.3,24.6,24.0,7,19.0,20.0,20.0,20.0,20.0,8.0,10.0,10.0,8.0,10.0,3,10,160.0,VE0111_0192
450,2017-05-02,6,32,52,20,38,70,77,7,3,5,3,3,7,3,7,5,7,5,1,1,60.0,56.0,60.0,50.0,60.0,18.0,23.0,27.0,20.0,19.0,36.8,27.8,65.2,39.7,50.6,11.3,9.9,17.1,11.5,14.8,77.0,64.0,152.0,80.0,100.0,106.0,91.0,252.0,145.0,186.0,16.8,13.1,35.5,20.3,26.2,7,20.0,20.0,20.0,20.0,20.0,9.0,8.0,9.0,8.0,9.0,3,10,180.0,VE0112_0450
687,2017-05-02,6,32,52,20,37,69,77,8,3,5,3,5,7,3,7,5,5,5,1,2,50.0,53.0,50.0,52.0,50.0,20.0,17.0,19.0,18.0,18.0,22.3,30.3,18.4,28.1,23.4,7.8,8.5,4.9,9.9,6.7,44.0,79.0,41.0,60.0,63.0,77.0,117.0,77.0,100.0,94.0,10.3,15.9,10.1,13.8,11.9,7,20.0,22.0,20.0,22.0,21.0,11.0,10.0,10.0,10.0,10.0,3,10,160.0,VE0113_0687
688,2017-05-02,6,31,55,24,39,70,78,8,3,5,3,5,7,3,7,5,5,5,1,2,50.0,51.0,50.0,45.0,45.0,15.0,20.0,19.0,19.0,17.0,40.3,23.2,23.6,11.8,31.8,11.0,9.3,9.8,6.9,8.5,123.0,46.0,56.0,26.0,80.0,198.0,86.0,82.0,46.0,127.0,18.3,10.2,12.0,6.3,16.2,7,24.0,20.0,20.0,20.0,22.0,11.0,8.0,9.0,10.0,11.0,3,10,120.0,VE0114_0688
689,2017-05-02,6,40,56,16,32,72,79,7,3,5,3,5,7,5,5,5,5,5,1,2,65.0,75.0,64.0,53.0,60.0,26.0,30.0,30.0,24.0,28.0,73.6,32.7,45.0,39.6,60.7,21.8,15.8,18.7,14.5,19.8,147.0,55.0,94.0,78.0,116.0,232.0,85.0,142.0,100.0,199.0,32.6,13.5,22.2,15.8,30.8,7,25.0,22.0,23.0,22.0,26.0,12.0,12.0,11.0,10.0,12.0,3,11,180.0,VE0115_0689
690,2017-05-02,6,32,54,22,38,70,77,7,3,5,3,5,7,3,9,3,7,7,1,2,49.0,50.0,52.0,50.0,40.0,19.0,20.0,17.0,19.0,14.0,27.6,30.5,72.3,37.5,33.6,8.9,8.7,17.8,6.2,5.4,75.0,81.0,204.0,118.0,117.0,129.0,123.0,317.0,186.0,180.0,15.4,15.7,37.5,21.6,20.9,7,22.0,20.0,20.0,20.0,20.0,10.0,9.0,10.0,10.0,9.0,3,10,135.0,VE0116_0690
692,2017-05-02,6,32,53,21,36,68,78,10,3,5,3,5,7,3,9,5,7,7,2,2,50.0,50.0,55.0,43.0,45.0,13.0,19.0,17.0,18.0,19.0,50.4,20.7,40.6,20.0,24.2,13.5,4.5,15.1,5.9,6.0,137.0,65.0,98.0,59.0,76.0,232.0,99.0,177.0,95.0,130.0,25.9,10.8,17.7,10.1,13.2,7,17.0,19.0,18.0,20.0,17.0,9.0,8.0,9.0,10.0,7.0,3,14,115.0,VE0117_0692
693,2017-05-02,6,31,56,25,40,71,79,8,3,7,3,3,7,3,9,3,7,7,1,2,52.0,52.0,53.0,55.0,45.0,19.0,22.0,17.0,16.0,22.0,73.6,34.5,37.7,32.5,13.0,14.3,9.4,7.4,7.1,3.4,194.0,90.0,98.0,85.0,31.0,290.0,137.0,142.0,133.0,49.0,35.5,17.1,17.8,16.6,6.7,7,21.0,19.0,20.0,21.0,19.0,8.0,9.0,10.0,8.0,8.0,3,10,140.0,VE0118_0693
694,2017-05-02,6,31,52,21,40,71,78,7,3,5,3,3,7,7,7,3,5,5,1,2,55.0,57.0,55.0,46.0,46.0,18.0,18.0,16.0,17.0,17.0,76.4,100.3,72.9,83.6,20.5,26.7,30.7,33.3,29.6,4.7,168.0,273.0,161.0,197.0,65.0,254.0,437.0,217.0,330.0,110.0,31.1,13.7,23.5,39.1,11.8,7,18.0,19.0,20.0,18.0,20.0,7.0,8.0,8.0,9.0,8.0,3,10,130.0,VE0119_0694
695,2017-05-02,6,34,58,24,37,71,84,13,3,7,3,5,7,7,7,3,5,5,1,2,55.0,60.0,60.0,60.0,60.0,21.0,22.0,23.0,23.0,23.0,61.3,90.0,131.1,70.8,78.4,33.6,32.1,46.8,35.8,40.0,69.0,130.0,184.0,103.0,94.0,91.0,221.0,332.0,145.0,140.0,14.4,36.3,52.1,21.1,21.3,7,23.0,25.0,24.0,25.0,25.0,10.0,11.0,11.0,12.0,11.0,3,10,180.0,VE0120_0695
727,2017-05-02,6,31,55,24,38,69,78,9,3,7,3,5,7,5,9,5,7,7,1,2,60.0,45.0,54.0,55.0,53.0,19.0,16.0,13.0,22.0,17.0,36.5,11.3,27.1,10.4,21.1,15.0,2.6,8.1,3.2,5.2,88.0,35.0,81.0,30.0,57.0,119.0,46.0,109.0,38.0,89.0,12.9,4.9,11.8,4.2,10.5,7,20.0,21.0,20.0,20.0,21.0,8.0,8.0,7.0,8.0,8.0,3,11,130.0,VE0122_0727
728,2017-05-02,7,30,54,24,40,70,79,9,3,7,3,5,7,3,7,5,5,5,1,2,43.0,40.0,46.0,50.0,60.0,16.0,13.0,17.0,17.0,21.0,28.3,11.8,24.8,24.5,16.9,6.5,3.7,6.4,5.4,3.6,79.0,30.0,68.0,66.0,38.0,127.0,45.0,113.0,107.0,78.0,15.6,5.5,12.8,12.8,9.1,7,22.0,20.0,22.0,20.0,22.0,9.0,9.0,10.0,9.0,8.0,3,11,125.0,VE0123_0728
730,2017-05-02,6,31,51,20,40,71,79,8,3,7,3,5,7,5,5,3,1,5,1,1,60.0,46.0,50.0,51.0,52.0,11.0,12.0,12.0,16.0,17.0,62.8,64.5,84.1,27.9,28.1,19.1,15.4,17.4,5.5,5.6,135.0,168.0,217.0,77.0,82.0,234.0,248.0,355.0,113.0,132.0,31.0,30.1,44.4,14.3,15.6,7,22.0,20.0,21.0,20.0,20.0,10.0,10.0,10.0,10.0,9.0,3,13,155.0,VE0125_0730
731,2017-05-02,6,31,51,20,40,71,79,8,3,7,3,5,7,3,9,5,5,5,1,1,40.0,45.0,45.0,50.0,57.0,16.0,13.0,17.0,19.0,19.0,16.6,37.3,25.1,62.5,95.7,4.5,7.8,5.7,13.5,33.8,53.0,99.0,61.0,141.0,206.0,58.0,138.0,90.0,214.0,267.0,7.9,16.6,13.4,31.6,36.5,7,20.0,24.0,20.0,20.0,20.0,9.0,11.0,10.0,10.0,9.0,3,12,150.0,VE0126_0731
749,2017-05-02,6,31,51,20,41,72,79,7,3,7,5,5,7,3,7,5,5,5,1,2,47.0,52.0,52.0,50.0,45.0,17.0,21.0,17.0,16.0,19.0,17.0,16.3,16.0,12.4,31.7,4.2,6.1,4.2,3.2,7.4,49.0,70.0,41.0,36.0,93.0,71.0,126.0,67.0,61.0,127.0,9.0,16.7,9.4,7.8,17.8,7,23.0,22.0,22.0,20.0,20.0,10.0,10.0,10.0,9.0,10.0,3,10,150.0,VE0136_0749
766,2017-05-02,6,31,48,17,39,70,78,8,3,5,3,3,7,3,3,3,1,5,2,1,60.0,45.0,47.0,51.0,50.0,21.0,21.0,17.0,21.0,16.0,46.8,30.2,27.9,35.1,63.1,12.0,6.8,7.9,12.3,15.1,23.0,107.0,88.0,87.0,180.0,158.0,125.0,119.0,110.0,241.0,20.1,14.2,14.3,15.5,31.5,7,21.0,20.0,20.0,20.0,20.0,10.0,9.0,9.0,10.0,9.0,3,10,135.0,VE0147_0766
767,2017-05-02,6,31,48,17,39,70,78,8,3,5,5,5,7,3,3,3,1,5,1,1,48.0,50.0,46.0,50.0,45.0,16.0,17.0,16.0,16.0,16.0,61.3,19.1,29.1,39.9,38.3,25.0,5.6,6.0,9.6,7.0,122.0,46.0,77.0,120.0,108.0,169.0,63.0,116.0,143.0,154.0,23.3,9.2,16.0,21.4,21.4,7,20.0,20.0,20.0,19.0,20.0,9.0,9.0,10.0,8.0,10.0,3,10,155.0,VE0148_0767
2,2017-05-02,7,30,52,22,40,70,76,6,3,5,3,3,7,5,9,5,7,5,2,2,49.0,45.0,51.0,45.0,45.0,17.0,17.0,16.0,13.0,20.0,25.8,12.6,32.6,11.2,13.1,6.0,4.0,7.8,2.7,4.4,67.0,28.0,89.0,30.0,35.0,118.0,45.0,137.0,55.0,64.0,13.5,5.0,16.2,5.8,7.1,7,20.0,20.0,20.0,20.0,20.0,9.0,9.0,9.0,10.0,10.0,3,14,125.0,VIR0002
3,2017-05-02,7,30,58,28,40,70,75,5,3,7,1,3,7,7,9,5,7,5,2,2,50.0,30.0,45.0,50.0,50.0,14.0,11.0,13.0,15.0,17.0,38.3,18.3,16.5,26.7,30.0,9.4,4.6,4.7,7.2,6.9,101.0,46.0,46.0,58.0,78.0,151.0,73.0,63.0,92.0,103.0,14.4,7.9,6.4,10.1,10.7,7,20.0,20.0,19.0,21.0,21.0,9.0,9.0,8.0,10.0,10.0,3,10,105.0,VIR0003
4,2017-05-02,7,30,51,21,41,71,77,6,3,7,5,3,7,5,5,5,1,5,2,1,53.0,47.0,50.0,55.0,52.0,16.0,13.0,14.0,16.0,16.0,22.4,50.5,33.6,36.4,48.7,8.0,20.7,8.2,6.3,10.2,58.0,109.0,98.0,104.0,142.0,98.0,172.0,156.0,185.0,211.0,10.3,18.2,17.5,18.9,22.2,7,18.0,20.0,19.0,19.0,20.0,9.0,8.0,9.0,8.0,9.0,3,14,110.0,VIR0004
5,2017-05-02,6,31,59,28,40,71,79,8,3,5,5,3,7,7,9,5,7,5,1,2,50.0,43.0,50.0,43.0,45.0,21.0,21.0,16.0,13.0,13.0,57.6,21.3,63.1,78.5,49.5,10.3,5.3,12.8,13.6,12.4,150.0,54.0,159.0,181.0,125.0,203.0,94.0,268.0,322.0,206.0,20.5,9.6,31.4,38.2,27.7,7,20.0,20.0,21.0,19.0,21.0,8.0,8.0,10.0,8.0,9.0,3,10,120.0,VIR0005
21,2017-05-02,7,34,51,17,38,72,82,10,1,3,5,7,3,1,5,5,1,5,2,2,50.0,53.0,45.0,51.0,50.0,25.0,20.0,23.0,23.0,19.0,59.4,105.4,38.6,88.0,78.7,13.8,49.9,11.4,17.4,28.9,76.0,83.0,47.0,122.0,78.0,127.0,135.0,67.0,172.0,108.0,28.6,35.5,16.8,48.7,32.6,5,26.0,28.0,27.0,25.0,29.0,13.0,12.0,14.0,12.0,15.0,3,1,355.0,VIR0021
30,2017-05-02,7,29,54,25,45,74,84,10,1,3,3,5,3,7,9,5,7,5,1,1,53.0,42.0,43.0,47.0,43.0,19.0,19.0,13.0,19.0,21.0,20.8,8.0,17.4,9.4,17.5,8.4,5.2,10.1,6.0,7.5,70.0,20.0,55.0,25.0,69.0,40.0,18.0,30.0,15.0,58.0,2.6,0.7,1.3,0.5,2.6,7,20.0,19.0,20.0,20.0,20.0,10.0,9.0,8.0,9.0,10.0,7,9,60.0,VIR0030
40,2017-05-02,7,41,65,24,36,77,90,13,3,5,5,3,7,5,7,3,1,5,2,1,60.0,60.0,60.0,60.0,65.0,40.0,35.0,37.0,40.0,40.0,39.6,38.6,40.8,36.2,77.3,21.0,18.1,20.1,22.0,46.2,75.0,75.0,87.0,71.0,130.0,94.0,96.0,100.0,89.0,154.0,12.5,13.4,11.1,12.0,17.7,7,17.0,20.0,20.0,18.0,20.0,8.0,10.0,9.0,9.0,10.0,3,11,145.0,VIR0040
125,2017-05-02,7,31,50,19,45,76,88,12,1,3,3,5,3,7,7,5,1,5,1,2,52.0,55.0,60.0,60.0,63.0,23.0,30.0,27.0,26.0,26.0,33.5,45.1,42.1,67.1,25.1,9.9,11.6,15.0,30.5,44.1,79.0,90.0,76.0,90.0,91.0,106.0,153.0,111.0,144.0,164.0,15.9,21.5,19.3,21.5,28.7,7,24.0,22.0,25.0,20.0,25.0,11.0,12.0,10.0,11.0,12.0,3,1,215.0,VIR0125
143,2017-05-02,7,32,51,19,45,77,88,11,1,3,3,5,3,7,9,3,7,5,1,2,60.0,63.0,65.0,61.0,70.0,30.0,21.0,19.0,14.0,20.0,17.3,60.1,92.6,130.2,71.3,8.2,32.2,46.3,71.4,33.4,31.0,99.0,134.0,159.0,108.0,29.0,87.0,105.0,136.0,109.0,4.6,18.4,20.6,24.3,22.0,7,23.0,25.0,25.0,25.0,25.0,12.0,14.0,11.0,11.0,13.0,3,1,310.0,VIR0143
167,2017-05-02,7,38,59,21,33,71,86,15,1,3,3,7,3,1,7,5,1,5,1,2,55.0,60.0,50.0,50.0,57.0,21.0,31.0,30.0,24.0,26.0,198.7,71.0,23.9,60.2,93.4,74.7,16.8,6.2,18.9,33.2,237.0,103.0,45.0,78.0,114.0,273.0,144.0,64.0,108.0,166.0,70.5,32.0,13.8,27.8,41.7,7,25.0,23.0,23.0,25.0,22.0,12.0,10.0,11.0,12.0,10.0,5,1,385.0,VIR0167
172,2017-05-02,7,31,54,23,44,75,87,12,3,7,3,3,7,5,9,5,7,5,2,1,50.0,45.0,40.0,42.0,50.0,13.0,14.0,17.0,13.0,17.0,77.6,26.3,7.1,17.6,55.7,19.9,7.7,1.8,4.1,13.5,223.0,68.0,19.0,47.0,158.0,334.0,102.0,43.0,89.0,254.0,35.0,10.9,4.1,9.4,29.4,7,20.0,20.0,19.0,20.0,20.0,8.0,9.0,9.0,9.0,10.0,3,13,120.0,VIR0172
187,2017-05-02,7,31,59,28,45,76,91,15,3,3,3,7,3,1,9,5,7,5,1,2,55.0,53.0,54.0,50.0,50.0,24.0,20.0,20.0,20.0,20.0,66.5,52.5,61.6,30.4,91.8,26.5,15.4,28.1,13.9,33.5,92.0,82.0,75.0,45.0,120.0,93.0,93.0,78.0,43.0,136.0,24.5,24.9,19.3,10.8,36.0,5,25.0,25.0,25.0,24.0,25.0,13.0,13.0,11.0,12.0,13.0,3,9,325.0,VIR0187
196,2017-05-02,7,30,61,31,40,70,77,7,2,5,5,5,7,3,9,3,7,7,2,1,57.0,55.0,56.0,46.0,55.0,30.0,30.0,23.0,22.0,21.0,54.3,15.1,61.6,22.7,48.2,18.0,5.3,22.1,6.5,16.5,106.0,31.0,117.0,62.0,89.0,153.0,47.0,184.0,87.0,155.0,22.6,6.4,25.8,11.0,21.0,7,22.0,20.0,22.0,20.0,22.0,10.0,9.0,10.0,9.0,10.0,3,13,160.0,VIR0196
204,2017-05-02,7,32,58,26,40,72,86,14,1,3,5,5,3,9,9,5,7,5,1,1,57.0,56.0,60.0,56.0,57.0,19.0,16.0,16.0,17.0,17.0,49.1,53.0,107.3,52.7,58.1,13.4,14.9,75.2,15.5,26.1,149.0,180.0,146.0,129.0,154.0,149.0,158.0,78.0,161.0,113.0,18.3,19.1,11.1,18.3,12.6,7,22.0,20.0,22.0,20.0,20.0,10.0,9.0,10.0,10.0,10.0,3,1,165.0,VIR0204
