№ каталога ВИР,Дата посева,Посев-начало всходов (дней),Начало всходов-начало цветения (дней),Начало всходов-конец цветения (дней),Начало цветения-конец цветения (дней),Начало цветения- начало созревания (дней),Начало всходов- начало созревания (дней),Начало всходов- полное созревание (дней),Начало созревания-полное созревание (дней),Цветок - окраска,Стебель окраска,Форма куста,Размер листочка,Цветоножка (окраска),Аскохитоз (поражение) 2017,Стебель- ветвистость (балл),Стебель  длина ветвей 1-го порядка,Стебель - характер ветвления (ветви 1-го порядка),Стебель - характер ветвления (ветви 2-го порядка),Осыпаемость бобов,Растрескиваемость бобов,Ptht 1,Ptht 2,Ptht 3,Ptht 4,Ptht 5,Hlp 1,Hlp 2,Hlp 3,Hlp 4,Hlp 5,Byld 1,Byld 2,Byld 3,Byld 4,Byld 5,WpWp 1,WpWp 2,WpWp 3,WpWp 4,WpWp 5,PPP 1,PPP 2,PPP 3,PPP 4,PPP 5,SPP 1,SPP 2,SPP 3,SPP 4,SPP 5,SYDS 1,SYDS 2,SYDS 3,SYDS 4,SYDS 5,PodSH,PDL 1,PDL 2,PDL 3,PDL 4,PDL 5,PDW 1,PDW 2,PDW 3,PDW 4,PDW 5,SSH,SCO,TSW,SNP ID
586,2017-05-02,7,33,48,15,38,71,77,6,1,3,3,5,3,3,9,5,7,5,1,2,50.0,50.0,57.0,60.0,50.0,22.0,30.0,26.0,27.0,27.0,64.5,30.7,54.3,64.3,25.2,22.4,8.3,10.9,15.7,12.8,92.0,54.0,89.0,107.0,55.0,126.0,87.0,133.0,157.0,79.0,26.5,17.7,27.8,31.8,12.8,7,25.0,25.0,25.0,23.0,25.0,11.0,11.0,10.0,10.0,11.0,5,1,245.0,VIR0586
587,2017-05-02,7,30,47,17,40,70,76,6,3,7,5,3,7,3,7,5,5,5,2,2,50.0,55.0,55.0,60.0,56.0,20.0,20.0,22.0,23.0,21.0,55.7,32.9,36.7,41.9,70.2,12.5,11.5,10.4,9.5,28.9,171.0,149.0,82.0,113.0,156.0,183.0,189.0,103.0,145.0,178.0,27.6,28.6,16.5,22.6,28.0,7,22.0,25.0,22.0,23.0,21.0,10.0,11.0,11.0,11.0,11.0,3,11,160.0,VIR0587
588,2017-05-02,7,39,56,17,31,70,76,6,3,3,3,3,3,3,7,5,5,5,2,1,56.0,56.0,57.0,50.0,65.0,22.0,27.0,27.0,23.0,32.0,21.8,35.9,30.8,16.2,63.1,8.3,10.6,12.4,4.7,17.8,45.0,83.0,68.0,30.0,123.0,47.0,86.0,70.0,30.0,139.0,9.9,16.4,15.2,6.3,28.4,7,23.0,25.0,24.0,23.0,25.0,12.0,13.0,12.0,13.0,12.0,3,11,230.0,VIR0588
589,2017-05-02,7,31,77,46,41,72,91,19,1,3,3,7,3,7,7,5,7,7,2,1,55.0,60.0,60.0,52.0,50.0,32.0,32.0,32.0,27.0,27.0,19.6,35.4,57.9,49.6,20.1,5.7,12.9,11.4,23.7,7.8,29.0,50.0,56.0,63.0,22.0,29.0,58.0,65.0,80.0,21.0,8.1,13.9,18.9,21.1,6.9,5,26.0,26.0,26.0,26.0,25.0,13.0,14.0,12.0,14.0,13.0,3,1,315.0,VIR0589
620,2017-05-02,7,39,58,19,33,72,89,17,3,3,3,5,7,5,7,5,7,7,2,1,55.0,52.0,50.0,50.0,50.0,36.0,28.0,27.0,25.0,22.0,45.8,67.3,38.1,15.1,35.1,17.7,25.3,18.7,8.6,8.9,43.0,68.0,38.0,9.0,53.0,51.0,68.0,45.0,17.0,66.0,13.9,22.4,15.3,4.1,20.2,5,25.0,24.0,24.0,24.0,23.0,13.0,12.0,12.0,13.0,13.0,3,10,390.0,VIR0620
623,2017-05-02,7,34,63,29,37,71,89,18,1,3,3,3,3,5,3,7,7,7,1,2,50.0,53.0,42.0,47.0,50.0,20.0,22.0,18.0,18.0,20.0,68.2,117.3,36.9,61.9,94.0,15.4,20.9,13.5,18.9,16.0,167.0,280.0,85.0,241.0,147.0,181.0,352.0,80.0,281.0,201.0,29.1,59.4,13.2,47.6,31.8,7,25.0,22.0,20.0,24.0,20.0,10.0,9.0,10.0,11.0,10.0,5,1,190.0,VIR0623
626,2017-05-02,7,33,59,26,38,71,82,11,3,5,3,3,7,5,3,7,7,7,1,2,40.0,40.0,42.0,50.0,56.0,20.0,22.0,22.0,22.0,18.0,61.7,33.3,53.6,57.8,102.8,15.0,18.4,21.3,13.0,31.4,93.0,32.0,64.0,98.0,147.0,127.0,40.0,89.0,149.0,224.0,27.6,8.7,20.2,33.9,52.5,5,25.0,30.0,25.0,25.0,26.0,12.0,15.0,11.0,12.0,13.0,3,10,255.0,VIR0626
627,2017-05-02,7,31,61,30,40,71,82,11,1,3,5,5,3,5,3,7,7,7,2,2,60.0,63.0,50.0,60.0,60.0,31.0,20.0,20.0,21.0,24.0,40.7,93.4,33.1,31.0,50.8,10.1,33.9,9.4,11.5,21.3,66.0,118.0,55.0,43.0,74.0,70.0,134.0,61.0,45.0,79.0,18.1,33.3,15.9,10.8,20.5,5,25.0,25.0,25.0,25.0,25.0,10.0,11.0,11.0,11.0,11.0,3,1,275.0,VIR0627
628,2017-05-02,7,32,61,29,38,70,82,12,3,5,5,5,7,5,3,7,7,5,2,1,50.0,55.0,56.0,50.0,46.0,18.0,20.0,24.0,16.0,21.0,88.7,58.4,64.5,23.6,33.4,33.0,16.5,18.3,9.4,7.5,120.0,89.0,100.0,44.0,48.0,144.0,113.0,113.0,42.0,64.0,36.6,36.7,27.4,9.4,13.2,7,25.0,25.0,27.0,25.0,26.0,11.0,10.0,12.0,12.0,12.0,5,1,285.0,VIR0628
632,2017-05-02,8,30,64,34,43,73,93,20,1,3,3,5,3,5,9,5,7,5,1,1,53.0,50.0,45.0,50.0,52.0,21.0,27.0,26.0,21.0,27.0,97.2,39.6,24.5,27.9,121.5,50.5,18.8,10.1,15.6,61.5,113.0,57.0,40.0,46.0,156.0,166.0,56.0,65.0,51.0,167.0,26.3,8.5,13.2,7.3,32.6,7,24.0,22.0,22.0,22.0,22.0,12.0,11.0,11.0,11.0,11.0,5,1,225.0,VIR0632
633,2017-05-02,7,34,63,29,39,73,82,9,1,3,5,5,3,7,5,7,7,5,2,2,50.0,50.0,50.0,57.0,56.0,17.0,16.0,17.0,22.0,17.0,43.6,42.8,83.6,42.4,85.5,24.5,21.4,18.6,15.3,29.5,45.0,20.0,117.0,56.0,112.0,32.0,14.0,124.0,57.0,100.0,4.9,1.7,26.7,16.6,21.5,5,25.0,25.0,24.0,25.0,25.0,12.0,13.0,12.0,12.0,13.0,5,1,325.0,VIR0633
634,2017-05-02,7,34,64,30,40,74,82,8,1,3,3,5,3,7,9,7,7,5,2,2,50.0,53.0,67.0,70.0,55.0,17.0,18.0,27.0,20.0,21.0,44.3,267.8,99.4,83.0,29.2,9.8,88.3,40.8,31.1,11.7,63.0,359.0,112.0,102.0,34.0,51.0,367.0,85.0,99.0,32.0,12.1,101.0,19.2,19.3,9.2,5,24.0,21.0,25.0,25.0,25.0,12.0,11.0,13.0,13.0,12.0,5,1,330.0,VIR0634
635,2017-05-02,7,31,63,32,41,72,82,10,3,5,5,5,7,7,9,7,7,7,2,2,55.0,47.0,53.0,50.0,50.0,20.0,20.0,18.0,18.0,20.0,29.9,67.5,101.5,46.6,33.7,9.3,26.5,41.2,11.1,12.2,48.0,98.0,118.0,82.0,60.0,56.0,115.0,161.0,103.0,64.0,12.1,23.4,27.4,20.3,11.9,7,25.0,25.0,25.0,25.0,24.0,12.0,12.0,11.0,12.0,11.0,3,11,275.0,VIR0635
638,2017-05-02,7,31,51,20,39,70,82,12,3,5,5,5,7,7,9,7,7,7,2,2,55.0,46.0,40.0,53.0,43.0,26.0,18.0,16.0,18.0,18.0,27.1,29.7,22.3,20.1,18.4,4.7,10.0,8.1,5.5,5.0,56.0,58.0,41.0,44.0,48.0,75.0,75.0,49.0,84.0,67.0,8.8,7.5,5.5,9.8,8.1,7,22.0,22.0,21.0,22.0,23.0,11.0,10.0,12.0,11.0,11.0,3,11,165.0,VIR0638
641,2017-05-02,8,30,63,33,39,69,81,12,1,3,3,5,3,7,9,7,7,5,2,2,63.0,50.0,53.0,60.0,55.0,21.0,20.0,17.0,20.0,18.0,46.6,53.0,27.6,50.6,57.0,19.8,20.4,14.7,25.5,24.6,70.0,93.0,36.0,106.0,88.0,79.0,86.0,28.0,76.0,88.0,11.0,14.6,4.5,12.5,14.7,7,23.0,22.0,22.0,23.0,22.0,13.0,12.0,11.0,13.0,11.0,5,1,255.0,VIR0641
642,2017-05-02,7,31,49,18,39,70,82,12,3,5,5,5,7,7,9,7,7,5,1,2,56.0,50.0,43.0,41.0,56.0,21.0,16.0,17.0,20.0,27.0,59.0,18.8,17.4,15.2,36.3,12.5,8.1,7.6,8.6,13.5,128.0,33.0,37.0,25.0,66.0,225.0,38.0,41.0,29.0,71.0,30.5,4.5,4.7,3.7,10.8,7,20.0,20.0,21.0,21.0,20.0,10.0,10.0,11.0,10.0,10.0,3,10,190.0,VIR0642
643,2017-05-02,7,40,55,15,30,70,82,12,1,3,5,5,3,7,9,5,7,5,2,1,57.0,56.0,65.0,60.0,52.0,21.0,32.0,25.0,30.0,27.0,62.1,33.9,151.8,120.9,123.0,20.3,9.0,66.5,48.8,45.6,65.0,53.0,197.0,137.0,149.0,82.0,51.0,186.0,171.0,165.0,19.7,14.8,42.5,48.0,39.7,7,25.0,25.0,25.0,25.0,25.0,11.0,12.0,11.0,11.0,10.0,5,1,365.0,VIR0643
667,2017-05-02,7,42,65,23,28,70,82,12,3,5,5,5,7,7,9,5,7,7,2,1,50.0,55.0,62.0,67.0,42.0,17.0,18.0,32.0,25.0,22.0,28.1,20.7,18.9,36.3,15.2,9.1,11.5,11.0,23.1,8.8,54.0,33.0,32.0,34.0,24.0,62.0,45.0,34.0,44.0,26.0,10.3,5.2,4.3,4.8,3.4,7,22.0,22.0,22.0,22.0,21.0,11.0,11.0,12.0,11.0,11.0,5,10,225.0,VIR0667
704,2017-05-02,8,39,60,21,30,69,82,13,3,5,5,5,7,5,9,5,7,5,1,1,50.0,60.0,65.0,60.0,60.0,11.0,19.0,30.0,22.0,27.0,77.1,91.9,72.0,113.8,68.8,25.0,21.8,37.1,44.7,20.7,217.0,186.0,101.0,212.0,148.0,213.0,278.0,134.0,288.0,226.0,19.8,45.4,23.1,43.0,34.0,7,21.0,21.0,21.0,20.0,21.0,10.0,10.0,11.0,11.0,10.0,3,11,190.0,VIR0704
738,2017-05-02,7,32,52,20,38,70,77,7,3,3,5,5,3,5,7,3,7,5,2,2,62.0,57.0,65.0,57.0,57.0,27.0,25.0,27.0,26.0,31.0,46.4,30.4,54.0,35.5,63.5,21.2,9.3,18.7,9.5,20.2,77.0,52.0,89.0,61.0,107.0,67.0,69.0,112.0,71.0,124.0,11.0,13.3,19.8,14.6,26.1,7,25.0,26.0,25.0,25.0,25.0,12.0,13.0,11.0,10.0,10.0,3,11,220.0,VIR0738
776,2017-05-02,7,42,64,22,33,75,94,19,1,3,3,5,3,5,9,5,1,5,2,1,58.0,57.0,50.0,61.0,60.0,27.0,27.0,27.0,17.0,22.0,111.4,45.6,45.3,95.3,36.8,48.5,33.0,38.4,65.9,53.8,113.0,30.0,48.0,80.0,101.0,150.0,21.0,37.0,70.0,104.0,41.1,4.0,9.3,17.2,19.9,5,24.0,23.0,23.0,22.0,23.0,12.0,12.0,12.0,12.0,13.0,5,1,405.0,VIR0776
790,2017-05-02,7,42,62,20,27,69,78,9,1,3,5,5,3,1,9,5,7,7,2,2,55.0,55.0,50.0,55.0,60.0,40.0,25.0,26.0,40.0,38.0,39.1,30.5,27.4,31.4,54.9,19.3,9.0,13.6,14.7,17.8,31.0,34.0,21.0,26.0,60.0,30.0,39.0,23.0,30.0,73.0,10.4,12.6,8.3,10.5,21.4,5,25.0,26.0,26.0,25.0,26.0,13.0,14.0,15.0,14.0,15.0,3,1,435.0,VIR0790
794,2017-05-02,7,41,61,20,32,73,84,11,1,3,3,5,3,7,9,5,7,7,2,2,60.0,60.0,60.0,53.0,53.0,25.0,33.0,32.0,31.0,27.0,165.6,88.2,108.5,139.1,142.6,40.6,31.4,51.7,61.3,63.5,190.0,78.0,103.0,142.0,142.0,241.0,100.0,134.0,166.0,152.0,75.2,32.7,40.3,47.6,50.2,5,26.0,27.0,24.0,23.0,24.0,12.0,13.0,13.0,12.0,13.0,3,1,395.0,VIR0794
795,2017-05-02,7,42,65,23,30,72,84,12,3,3,5,3,7,7,9,3,1,5,1,2,60.0,55.0,60.0,50.0,60.0,31.0,25.0,22.0,22.0,22.0,39.9,31.7,89.6,55.3,127.3,29.1,13.4,39.1,17.3,62.3,26.0,57.0,130.0,116.0,173.0,28.0,39.0,136.0,144.0,186.0,5.3,6.3,24.5,20.4,32.7,7,24.0,24.0,25.0,24.0,25.0,10.0,10.0,10.0,11.0,10.0,3,11,210.0,VIR0795
796,2017-05-02,7,31,66,35,39,70,84,14,3,3,5,3,3,7,9,3,7,5,1,1,60.0,60.0,60.0,55.0,60.0,21.0,23.0,25.0,30.0,24.0,36.1,68.0,37.6,31.7,54.5,14.9,19.6,11.0,10.2,13.3,90.0,164.0,84.0,74.0,114.0,111.0,192.0,105.0,93.0,158.0,15.2,28.9,17.8,14.4,26.2,7,22.0,23.0,22.0,23.0,20.0,10.0,10.0,10.0,10.0,10.0,3,11,165.0,VIR0796
797,2017-05-02,7,31,64,33,39,70,84,14,1,3,5,3,3,7,9,3,1,5,2,2,60.0,50.0,51.0,50.0,55.0,22.0,22.0,22.0,24.0,21.0,61.1,76.1,58.9,51.5,69.9,24.4,20.5,19.1,15.4,19.2,129.0,207.0,163.0,136.0,191.0,158.0,210.0,146.0,159.0,192.0,18.1,29.0,20.0,22.4,29.5,7,20.0,20.0,20.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,5,1,175.0,VIR0797
798,2017-05-02,7,42,64,22,28,70,95,25,1,3,5,5,3,5,9,3,1,5,2,2,70.0,62.0,62.0,56.0,60.0,40.0,30.0,21.0,31.0,33.0,49.2,31.4,79.4,47.9,119.9,16.9,12.2,24.8,14.1,46.6,64.0,38.0,115.0,66.0,132.0,73.0,55.0,126.0,81.0,163.0,17.2,10.9,30.7,20.9,42.9,7,32.0,30.0,30.0,30.0,30.0,14.0,13.0,13.0,12.0,13.0,5,1,325.0,VIR0798
799,2017-05-02,7,34,62,28,36,70,84,14,1,3,3,5,3,7,9,3,1,5,2,2,62.0,53.0,63.0,60.0,62.0,32.0,25.0,21.0,27.0,27.0,113.4,58.8,179.7,67.3,71.9,54.4,16.7,74.4,20.7,39.9,129.0,99.0,188.0,126.0,92.0,136.0,116.0,202.0,155.0,72.0,31.0,26.6,58.6,34.7,14.4,5,25.0,26.0,30.0,27.0,26.0,12.0,11.0,11.0,11.0,11.0,5,1,350.0,VIR0799
802,2017-05-02,7,31,56,25,38,69,84,15,3,3,3,3,3,5,9,3,1,5,1,1,52.0,68.0,65.0,61.0,60.0,27.0,27.0,20.0,27.0,23.0,25.6,100.0,47.9,39.7,104.3,7.8,27.2,13.7,14.6,26.9,50.0,186.0,80.0,71.0,189.0,56.0,234.0,107.0,107.0,224.0,9.5,43.6,21.1,20.6,38.5,7,25.0,25.0,25.0,25.0,25.0,10.0,10.0,12.0,10.0,10.0,7,12,220.0,VIR0802
804,2017-05-02,8,33,61,28,35,68,83,15,1,3,3,5,3,5,9,3,1,5,2,1,62.0,67.0,53.0,60.0,50.0,37.0,31.0,27.0,31.0,26.0,39.0,59.7,56.1,54.9,31.2,11.5,15.4,21.1,12.3,27.6,49.0,68.0,63.0,38.0,106.0,52.0,76.0,80.0,34.0,127.0,14.9,23.7,22.74,11.7,37.2,7,24.0,24.0,23.0,23.0,23.0,12.0,12.0,13.0,12.0,11.0,5,1,380.0,VIR0804
853,2017-05-02,7,32,61,29,38,70,79,9,1,3,3,5,3,3,9,3,7,5,2,2,55.0,50.0,66.0,56.0,50.0,24.0,22.0,22.0,22.0,20.0,62.7,77.6,24.2,42.3,88.4,23.1,31.4,7.6,14.3,34.7,94.0,169.0,42.0,81.0,133.0,141.0,317.0,73.0,118.0,213.0,27.3,47.3,11.6,20.7,35.5,7,22.0,24.0,27.0,25.0,25.0,10.0,11.0,13.0,11.0,12.0,5,1,245.0,VIR0853
855,2017-05-02,7,41,64,23,30,71,93,22,1,3,3,5,3,1,9,3,7,5,2,1,63.0,70.0,70.0,70.0,76.0,32.0,37.0,41.0,41.0,41.0,110.0,151.0,85.1,94.8,83.7,32.7,81.3,43.0,51.3,38.1,138.0,113.0,71.0,87.0,81.0,174.0,152.0,88.0,94.0,137.0,42.3,44.3,27.0,25.7,31.7,5,30.0,28.0,31.0,27.0,25.0,13.0,13.0,15.0,12.0,12.0,5,1,380.0,VIR0855
918,2017-05-02,7,40,65,25,31,71,87,16,1,3,3,7,3,5,9,5,7,7,2,2,55.0,56.0,53.0,55.0,60.0,21.0,21.0,22.0,22.0,2.0,126.4,98.3,93.1,95.7,138.3,25.9,26.1,22.7,29.7,54.4,162.0,135.0,150.0,99.0,120.0,270.0,168.0,209.0,142.0,188.0,62.1,47.3,54.0,43.9,55.9,5,19.0,21.0,22.0,21.0,21.0,13.0,11.0,12.0,11.0,11.0,5,1,250.0,VIR0918
920,2017-05-02,7,32,64,32,38,70,81,11,1,3,5,5,3,5,9,5,7,7,2,2,50.0,51.0,46.0,52.0,50.0,16.0,14.0,21.0,21.0,17.0,102.5,126.4,34.1,52.3,95.2,38.2,20.9,8.8,13.5,19.1,243.0,281.0,74.0,117.0,216.0,330.0,239.0,72.0,178.0,199.0,48.0,39.9,12.7,23.9,32.3,7,22.0,24.0,21.0,25.0,25.0,10.0,10.0,9.0,11.0,11.0,5,1,235.0,VIR0920
929,2017-05-02,7,32,63,31,38,70,81,11,3,7,5,3,7,5,9,5,7,7,1,1,43.0,42.0,35.0,43.0,43.0,19.0,15.0,15.0,20.0,16.0,47.9,35.1,27.2,29.6,64.4,10.1,5.7,6.3,4.7,10.0,123.0,114.0,81.0,81.0,192.0,216.0,175.0,144.0,150.0,351.0,27.1,19.3,15.3,16.0,32.4,7,20.0,19.0,20.0,20.0,19.0,10.0,9.0,9.0,10.0,10.0,3,10,150.0,VIR0929
932,2017-05-02,7,34,64,30,37,71,83,12,3,7,5,3,7,5,5,5,1,5,2,1,45.0,46.0,42.0,45.0,45.0,22.0,23.0,15.0,17.0,16.0,32.3,24.3,35.0,61.1,42.5,8.2,5.9,7.8,10.2,9.4,111.0,75.0,113.0,178.0,136.0,153.0,114.0,162.0,273.0,167.0,13.9,11.4,15.0,30.6,13.7,7,19.0,19.0,20.0,19.0,20.0,9.0,9.0,10.0,10.0,10.0,3,10,135.0,VIR0932
944,2017-05-02,7,31,52,21,38,69,76,7,3,7,3,3,7,5,9,5,1,5,2,1,43.0,41.0,42.0,33.0,40.0,19.0,17.0,21.0,16.0,13.0,12.7,26.5,28.3,14.0,14.5,4.6,6.1,7.5,4.4,6.1,34.0,83.0,79.0,43.0,43.0,44.0,122.0,124.0,55.0,43.0,4.1,10.7,11.4,4.6,3.5,7,21.0,21.0,22.0,21.0,19.0,9.0,10.0,11.0,10.0,8.0,3,10,115.0,VIR0944
945,2017-05-02,7,44,55,11,26,70,92,22,3,7,5,3,7,1,7,5,1,5,2,1,55.0,50.0,56.0,60.0,60.0,35.0,32.0,31.0,35.0,35.0,51.9,39.0,68.2,88.0,90.0,18.3,28.1,31.6,49.2,46.8,50.0,59.0,74.0,84.0,93.0,71.0,83.0,109.0,110.0,158.0,13.8,17.2,24.5,25.3,33.1,7,25.0,22.0,24.0,23.0,25.0,12.0,13.0,12.0,13.0,14.0,3,10,220.0,VIR0945
947,2017-05-02,7,40,64,24,33,73,87,14,3,7,5,3,7,7,7,5,1,5,1,1,54.0,50.0,46.0,45.0,40.0,21.0,22.0,21.0,22.0,21.0,60.9,25.7,42.4,43.8,31.7,18.7,8.3,8.8,9.5,9.1,152.0,63.0,111.0,124.0,83.0,209.0,74.0,140.0,181.0,80.0,28.2,9.8,18.1,22.2,7.2,7,20.0,20.0,20.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,3,10,160.0,VIR0947
960,2017-05-02,7,31,62,31,38,69,78,9,3,7,3,3,7,5,9,5,7,5,2,1,46.0,43.0,51.0,53.0,66.0,16.0,16.0,21.0,16.0,16.0,54.3,33.6,63.9,85.9,90.3,11.7,8.7,15.7,17.4,19.6,140.0,116.0,178.0,224.0,249.0,169.0,148.0,259.0,289.0,301.0,22.5,12.9,31.1,40.8,49.4,7,20.0,20.0,20.0,19.0,21.0,10.0,10.0,11.0,10.0,10.0,3,10,165.0,VIR0960
1039,2017-05-02,7,32,61,29,33,65,78,13,3,7,5,3,7,7,7,5,1,5,2,1,50.0,47.0,51.0,46.0,47.0,17.0,17.0,21.0,21.0,22.0,79.3,35.5,36.5,39.9,25.2,13.8,8.3,8.6,9.1,6.9,239.0,128.0,100.0,143.0,90.0,325.0,161.0,145.0,219.0,136.0,34.9,16.2,16.7,19.6,12.9,7,20.0,20.0,20.0,21.0,20.0,10.0,11.0,10.0,11.0,10.0,3,10,135.0,VIR1039
1068,2017-05-02,7,40,65,25,30,70,79,9,1,3,7,7,3,1,7,5,1,5,2,2,68.0,70.0,55.0,70.0,70.0,32.0,34.0,31.0,51.0,40.0,47.6,71.1,40.9,46.5,46.0,22.4,34.0,15.4,28.6,18.4,63.0,79.0,49.0,41.0,63.0,66.0,119.0,77.0,52.0,84.0,15.1,25.4,17.4,11.6,18.3,5,25.0,25.0,28.0,25.0,28.0,12.0,13.0,13.0,12.0,14.0,5,1,305.0,VIR1068
1179,2017-05-02,7,32,64,32,34,66,80,14,1,3,3,7,3,5,9,3,7,7,2,2,56.0,56.0,63.0,60.0,61.0,24.0,27.0,41.0,27.0,21.0,57.8,43.8,76.4,66.3,80.9,13.4,12.2,40.1,15.7,23.9,97.0,85.0,64.0,106.0,110.0,86.0,97.0,95.0,109.0,174.0,24.8,26.4,23.0,31.2,36.6,7,25.0,25.0,25.0,27.0,26.0,13.0,13.0,11.0,14.0,13.0,5,1,345.0,VIR1179
1214,2017-05-02,7,32,68,36,33,65,78,13,2,3,7,5,3,1,7,5,1,5,1,2,50.0,60.0,60.0,60.0,60.0,26.0,27.0,30.0,22.0,31.0,21.4,72.3,33.5,67.1,13.6,4.7,18.5,7.8,15.5,1.3,47.0,177.0,71.0,131.0,40.0,58.0,249.0,106.0,177.0,39.0,11.3,41.9,19.1,34.6,6.7,7,23.0,22.0,23.0,23.0,22.0,12.0,11.0,12.0,12.0,12.0,3,11,220.0,VIR1214
1230,2017-05-02,7,35,67,32,34,69,92,23,1,3,3,5,3,1,7,5,1,5,1,1,62.0,60.0,60.0,60.0,55.0,31.0,35.0,30.0,32.0,27.0,57.8,47.8,57.2,50.8,41.9,15.8,12.3,16.1,16.2,12.3,104.0,78.0,94.0,73.0,67.0,107.0,95.0,116.0,76.0,75.0,28.5,25.7,30.7,22.3,18.9,7,23.0,25.0,25.0,24.0,26.0,10.0,11.0,11.0,11.0,13.0,5,1,300.0,VIR1230
1243,2017-05-02,7,47,68,21,28,75,97,22,3,7,7,5,7,1,5,5,1,5,2,2,65.0,60.0,66.0,60.0,60.0,30.0,32.0,36.0,37.0,33.0,64.7,53.1,96.2,35.8,63.5,24.8,27.1,56.3,17.0,30.3,183.0,53.0,74.0,34.0,64.0,147.0,74.0,104.0,51.0,89.0,22.7,18.7,27.2,13.9,22.7,7,21.0,25.0,23.0,25.0,25.0,10.0,11.0,11.0,12.0,12.0,3,10,195.0,VIR1243
1252,2017-05-02,7,39,66,27,29,68,85,17,1,3,5,5,3,1,7,5,1,5,1,2,57.0,60.0,46.0,61.0,61.0,23.0,30.0,30.0,27.0,25.0,49.1,53.3,24.6,85.4,39.6,11.5,13.5,5.5,18.4,9.2,125.0,103.0,57.0,183.0,80.0,119.0,130.0,65.0,256.0,113.0,19.5,23.6,11.9,42.1,20.3,7,22.0,23.0,22.0,20.0,23.0,10.0,11.0,11.0,10.0,11.0,5,1,205.0,VIR1252
1286,2017-05-02,7,47,69,22,25,72,91,19,1,3,5,5,3,1,5,5,1,5,1,2,63.0,63.0,65.0,56.0,60.0,40.0,41.0,41.0,35.0,37.0,30.0,39.4,54.0,57.1,46.2,12.0,12.1,28.6,27.2,21.2,44.0,75.0,67.0,62.0,54.0,44.0,87.0,82.0,78.0,67.0,11.4,20.4,20.2,19.2,17.1,7,23.0,24.0,22.0,23.0,24.0,12.0,12.0,11.0,12.0,13.0,3,1,270.0,VIR1286
1481,2017-05-02,7,47,70,23,29,76,97,21,1,3,7,7,3,1,9,5,7,7,2,1,75.0,70.0,90.0,80.0,80.0,45.0,43.0,55.0,45.0,50.0,94.3,129.7,71.0,91.3,153.7,59.4,75.6,47.4,61.2,98.1,71.0,103.0,45.0,70.0,106.0,71.0,111.0,48.0,79.0,109.0,20.1,31.4,13.8,23.1,34.0,5,25.0,25.0,21.0,26.0,25.0,12.0,13.0,14.0,13.0,13.0,5,1,370.0,VIR1481
2296,2017-05-02,7,47,70,23,27,74,96,22,1,3,5,5,3,1,9,5,1,5,1,2,70.0,70.0,80.0,73.0,70.0,50.0,47.0,46.0,51.0,46.0,81.7,74.7,66.7,79.4,98.3,42.7,38.2,22.1,36.4,30.6,85.0,82.0,112.0,99.0,143.0,90.0,90.0,132.0,106.0,163.0,23.7,25.7,36.5,29.3,47.3,5,24.0,22.0,25.0,23.0,25.0,13.0,12.0,12.0,14.0,12.0,5,1,305.0,VIR2296
